text	cyrillic	diplomatic	lemma	PoS_tag	PoS_ext	sent_id	UD_id	UD_ncy	UD_type	UD_ext	page	folio	translation	eol	chapter	ref	desc	lat_header	cyr_header	lat_page_nr	cyr_page_nr	chunk	
																							
mésitza	μέσητζα	mesica	mesec	Nmsgn		1	1	5	nmod		28v	/img/petka/1064_28v.jpg	[Title] On the 14th day of Month October	0	gen NBKM 1064 - Petka		damaskin of haji Gendo Vălkov <br/>№ 1064, National Library ʺSv. Sv. Kirill i Metodiiʺ, Sofia <br/>Sliven, 1820s					1	Title
wktómvrïe	ωκτόμβρїε	oktomvrie	oktomvri	Nmsgn		1	2	1	appos														
f+	φ+	f	v	Sl		1	3	5	case														
tzetırnáisie+	τζετιρνάησηε+	četirnaisie	četirnaiseti	Amsoy		1	4	5	nummod	p_adj													
dén	δέν	den	den	Nmsnn		1	5	0	root					1									
																							
zjuvéenı+	ζιꙋβέενι+	živeeni	živenie	Nnsnn		2	1	0	root				[Title] Life of our Holy Reverend Mother Petka of Tarnovo										
tu,	τꙋ,	tu	tъ	Pd-nsn		2	2	1	det	p_nom													
na+	να+	na	na	Sa		2	3	6	case														
sfetàe	σφετὰε	sfetae	svęt	Afsny		2	4	6	amod														
prepodóm-pnae	πρεποδόμ-πναε	prepodobnae	prepodoben	Afsny		2	5	6	amod					1									
màika	μὰηκα	maika	maika	Nfsny		2	6	1	nmod	poss													
násja	νάσια	našja	naš	Afsnn		2	7	6	amod	poss													
pétka	πέτκα	petka	Petka	Nfsny		2	8	6	appos														
tárnovskaja:::	τάρνοβσκαια:::	tarnovskaja	tъrnovski	Afsny		2	9	8	amod					1									
																							
Slántsı+	Σλάντσι+	slanci	slъnce	Nnsnn		3	1	4	nsubj				As the sun has light to shine									2	Introduction
tu	τꙋ	tu	to	Pd-nsn		3	2	1	det	p_nom													
kólkutu	κόλκꙋτꙋ	kolkotu	kolkoto	Pr		3	3	4	advmod														
íma	ήμα	ima	imam	Vmip3si		3	4	0	root														
sfetlıná	σφετλινά	sfetlina	světlina	Nfsnn		3	5	4	obj														
tá	τά	ta	ta	C		3	6	7	cc														
sfétı,	σφέτι,	sfeti	světja	Vmip3si		3	7	4	conj					1									
																							
tà+	τὰ+	ta	ta	C		4	1	3	cc				such is also the remembrance of our Reverend mother Petka										
tólkuzi+	τόλκꙋζη+	tolkuzi	tolkozi	Pr		4	2	3	advmod														
e	ε	e	sъm	Vmip3si		4	3	0	root														
i	η	i	i	C		4	4	3	cc														
pomenúvani+	πομενꙋ́βανη+	pomenuvani	pomenovanie	Nnsnn		4	5	3	nsubj														
tu+	τꙋ+	tu	to	Pd-nsn		4	6	5	det	p_nom													
i	η	i	tja	Pp3fsd		4	7	10	expl	poss													
na+	να+	na	na	Sa		4	8	12	case														
prepo-dómpnae	πρεπο-δόμπναε	prepodobnae	prepodoben	Afsny		4	9	10	amod					1									
máika	μάηκα	maika	maika	Nfsny		4	10	5	nmod	poss													
násja	νάσια	našja	naš	Afsnn		4	11	10	amod														
pétka.	πέτκα.	petka	Petka	Nfsny		4	12	10	appos														
																							
śtutu-	ϛꙋτꙋ-	štutu	štoto	Pr		5	1	4	nsubj				which has spread all over the world	1									
sa+	σα+	sa	se	Px---a		5	2	4	expl														
i	η	i	tja	Pp3fsd		5	3	4	obl														
prosfetı´la	προσφετίλα	prosfetila	prosvětja	Vmp--se		5	4	0	root	prf													
po+	πο+	po	po	Sl		5	5	7	case														
sítzkie	σήτζκηε	sičkie	vsičъk	Amsoy		5	6	7	amod	p_adj													
sfét.	σφέτ.	sfet	svět	Nmsnn		5	7	4	obl														
																							
néinu-	νέηνꙋ-	neinu	nein	Ansnn		6	1	3	amod	poss			whose tongue could explain (all) her miracles and life?	1									
tu	τꙋ	tu	to	Pd-nsn		6	2	1	det	p_adj													
tzjúdo	τζιꙋ́δο	čjudo	čudo	Nnsnn		6	3	13	obj														
i	η	i	i	C		6	4	7	cc														
néinu+	νέηνꙋ+	neinu	nein	Ansnn		6	5	7	amod	poss													
tu	τꙋ	tu	to	Pd-nsn		6	6	5	det	p_adj													
guvéenı	γꙋβέενι	guveeni	govenie	Nnsnn		6	7	3	conj														
kói	κόη	koi	koi	Pq		6	8	9	amod														
izík	ηζήκ	izik	ezik	Nmsnn		6	9	13	nsubj														
mózı+	μόζι+	mož	moga	Vaip3si		6	10	13	aux														
gu	γꙋ	gu	toi	Pp3msa		6	11	3	expl					1									
da+	δα+	da	da	C		6	12	10	fixed	inf													
iskáza	ησκάζα	iskaza	izkaža	Vmip3se		6	13	0	root														
																							
śtutú+	ϛꙋτꙋ́+	štutu	štoto	Pr		7	1	3	obj				what good deeds she did in the land of Epibates										
í	ή	i	sъm	Vaip3si		7	2	3	aux	prf													
śtórıla	ϛόριλα	storila	storja	Vmp--se		7	3	0	root														
tjá	τιά	tja	tja	Pp3fsn		7	4	3	nsubj														
domprá	δομπρά	dobra	dobъr	Afsnn		7	5	6	amod														
rámpo-ta	ράμπο-τα	rabota	rabota	Nfsnn		7	6	3	obj					1									
na+	να+	na	na	Sl		7	7	9	case														
epıvátsko	επιβάτσκο	epivatsko	epivatski	Ansnn		7	8	9	amod														
mjáśtu.	μιάϛꙋ.	mjastu	město	Nnsnn		7	9	3	obl														
i	η	i	i	C		7	10	12	cc				and in Thrace, and in Tarnovo, and in Moesia, and in Dalmatia										
na+	να+	na	na	Sl		7	11	12	case														
trakíisko,	τρακήησκο,	trakiisko	trakijski	Ansnn		7	12	9	conj					1									
i+	η+	i	i	C		7	13	15	cc														
na+	να+	na	na	Sl		7	14	15	case														
tárnovu,	τάρνοβꙋ,	tarnovu	Tъrnov	Nnsnn		7	15	12	conj														
i+	η+	i	i	C		7	16	18	cc														
na+	να+	na	na	Sl		7	17	18	case														
misíja,	μησήια,	misija	Misija	Nfsnn		7	18	15	conj														
i+	η+	i	i	C		7	19	21	cc														
na+	να+	na	na	Sl		7	20	21	case														
dalmátı,	δαλμάτι,	dalmati	Dalmatija	Nfsnn		7	21	18	conj														
i+	η+	i	i	C		7	22	27	cc				and not only in those lands, but also all around the world?										
njá-	νιά-	nja	ne	Qz		7	23	24	amod					1									
tukù	τꙋκꙋ̀	tuku	toko	R		7	24	27	amod							Demina et al. 1017: toko 'toku, samo, edinstveno'							
pò	πὸ	po	po	Sl		7	25	27	case														
tjáx	τιάχ	tjax	tě	Pp3-pa		7	26	27	amod														
meṣtá,	μεςτά,	mesta	město	Nnpnn		7	27	21	conj														
amì	αμὴ	ami	ami	C		7	28	32	cc														
i+	η+	i	i	C		7	29	32	cc														
po+	πο+	po	po	Sl		7	30	32	case														
sítzkijà	σήτζκηιὰ	sičkija	vsičъk	Amsoy		7	31	32	amod	p_adj				1									
sfját.	σφιάτ.	sfjat	svět	Nmsnn		7	32	27	conj														
																							
déto	δέτο	deto	deto	Pr		8	1	6	obj				that, which our mind cannot comprehend										
násija	νάσηια	našija	naš	Amsoy		8	2	3	amod	p_adj:poss													
úm	ꙋ́μ	um	um	Nmsnn		8	3	6	nsubj														
nı+	νι+	ni	ne	Qz		8	4	5	advmod														
mózı	μόζι	moži	moga	Vaip3si		8	5	6	aux														
poṣtígna	ποςτήγνα	postigna	postigna	Vmn---e		8	6	0	root														
ilí	ηλή	ili	ili	C		8	7	9	cc				or our tongue cannot explain										
izí-ke+	ηζή-κε+	izike	ezik	Nmson		8	8	12	nsubj	p_nom				1		~ *ezikă ni našă ?							
nı	νι	ni	nie	Pp1-pd		8	9	10	expl	poss													
násı	νάσι	naši	naš	Amsny		8	10	8	amod	poss													
da	δα	da	da	C		8	11	12	mark	inf													
izrıtzé	ηζριτζέ	izriče	izreka	Vmip3se		8	12	6	conj														
i+	η+	i	i	C		8	13	15	cc														
da+	δα+	da	da	C		8	14	15	aux														
iṣkázi	ηςκάζη	iskaži	izkaža	Vmip3se		8	15	12	conj														
sítzko+	σήτζκο+	sičko	vsičko	Ansnn		8	16	20	amod				all her miracles, good (deeds) and life and tears										
tu	τꙋ	tu	to	Pd-nsn		8	17	16	det	p_adj													
i	η	i	tja	Pp3fsd		8	18	20	expl					1									
néino	νέηνο	neino	nein	Ansnn		8	19	20	amod														
tzjúdo	τζιꙋ́δο	čjudo	čudo	Nnsnn		8	20	6	obj														
i+	η+	i	i	C		8	21	22	cc														
dompró,	δομπρό,	dobro	dobro	Nnsnn		8	22	20	conj														
i+	η+	i	i	C		8	23	24	cc														
guvéenı	γꙋβέενι	guveeni	govenie	Nnsnn		8	24	22	conj														
i+	η+	i	i	C		8	25	26	cc														
sálzi,	σάλζη,	salzi	sъlza	Nfpnn		8	26	24	conj														
																							
á-mi	ά-μη	ami	ami	C		9	1	6	cc				but only so much, as our mind can comprehend	1									
tukù	τꙋκꙋ̀	tuku	toko	R		9	2	6	advmod														
kólkutu	κόλκꙋτꙋ	kolkutu	kolkoto	Pr		9	3	6	advmod														
násïa	νάσїα	našia	naš	Amsoy		9	4	5	amod	p_adj:poss													
úm	ꙋ́μ	um	um	Nmsnn		9	5	6	nsubj														
poṣtígna	ποςτήγνα	postigna	postigna	Vmia3se		9	6	0	root														
																							
ta+	τα+	ta	ta	C		10	1	2	cc				so I, Patriarch Euthymius of Bulgaria, wrote down what I knew										
na-písax	να-πήσαχ	napisax	napiša	Vmia1se		10	2	0	root					1									
áṣ	άς	as	az	Pp1-sn		10	3	2	nsubj														
evѳímïe	εβθήμїε	evѳimie	Evtimij	Nmsny		10	4	3	appos														
patrïárx	πατρїάρχ	patriarx	patriarx	Nmsny		10	5	4	appos														
tárnovski,	τάρνοβσκη,	tarnovski	tъrnovski	Amsny		10	6	5	amod					1									
śtutù	ϛꙋτꙋ̀	štutu	štoto	Pr		10	7	2	obj														
znáex	ζνάεχ	znaex	znaja	Vmii3si		10	8	7	acl														
																							
i+	η+	i	i	C		11	1	3	cc				and thus I wrote										
túi	τꙋ́η	tui	tъi	R		11	2	3	advmod														
napísax.	ναπήσαχ.	napisax	napiša	Vmia3se		11	3	0	root														
																							
amì	αμὴ	ami	ami	C		12	1	4	cc				but you hear me, o blessed Christians										
i+	η+	i	i	C		12	2	4	cc														
víe	βήε	vie	vie	Pp2-pn		12	3	4	nsubj														
po-slúseiti	πο-σλꙋ́σεητη	poslušeiti	poslušam	Vmm-2pe		12	4	0	root					1									
mplagoslovénı	μπλαγοσλοβένι	blagosloveni	blagosloven	Ampnn		12	5	6	amod														
xrıṣténı	χριςτένι	xristeni	xristianin	Nmpny		12	6	3	vocative														
																							
Táizi	Τάηζη	taizi	tozi	Pd-fsn		13	1	5	det	ext			this Saint Reverend Petka was (ʺsoʺ) from the land of Epibates	1								3	Petka's Childhood
sfetáe	σφετάε	sfetae	svęt	Afsny		13	2	5	amod														
i+	η+	i	i	C		13	3	4	cc														
prepodómpnae	πρεποδόμπναε	prepodobnae	prepodoben	Afsny		13	4	2	conj														
pétka	πέτκα	petka	Petka	Nfsny		13	5	7	nsubj														
taï	ταї	tai	tъi	R		13	6	7	advmod														
mpésı	μπέσι	beši	sъm	Vmii3si		13	7	0	root					1									
ut	ꙋτ	ut	ot	Sg		13	8	10	case														
epïvátsko	επїβάτσκο	epivatsko	epivatski	Nnsnn		13	9	10	amod														
mjáṣtu.	μιάςτꙋ.	mjastu	město	Nnsnn		13	10	7	obl	abl													
																							
mpaśtá+	μπαϛά+	bašta	bašta	Nfsny		14	1	6	nsubj				her father and her mother were good, orthodox Christians										
i	η	i	tja	Pp3fsd		14	2	1	nmod	poss													
i+	η+	i	i	C		14	3	4	cc														
máika+	μάηκα+	maika	maika	Nfsny		14	4	1	conj														
i,	η,	i	tja	Pp3fsd		14	5	4	nmod	poss				2									
mpjáxa	μπιάχα	bjaxa	sъm	Vmii3pi		14	6	0	root		29r	/img/petka/1064_29r.jpg						prepodómpnae pétka	πρεποδόμπναε πέτκα	29	29		
